MIR665	0	0	0	0	0	0	0	1	0	0	72
MIR873	0	0	0	0	0	0	0	0	0	0	77
MIR374B	0	3	0	1	0	0	0	0	1	2	72
MIR301B	0	0	0	1	0	0	0	0	0	0	78
MIR216B	0	0	0	0	0	0	0	0	0	0	82
MIR920	0	0	1	0	0	0	0	0	1	0	75
MIR922	0	0	0	0	0	0	0	0	0	0	81
MIR924	0	0	1	0	0	0	0	0	0	0	53
MIR934	0	0	0	0	0	0	0	0	0	0	83
MIR935	0	0	0	0	0	0	0	0	0	0	91
MIR936	0	0	0	0	0	0	0	0	0	0	98
MIR938	1	5	3	3	0	0	0	0	2	0	83
MIR940	6	9	8	16	6	8	3	6	1	6	94
MIR941-1	0	0	0	0	0	0	0	0	0	0	57
MIR942	0	0	0	0	0	0	0	0	0	0	86
MIR943	0	0	0	3	2	1	0	0	0	0	94
MIR708	0	1	0	1	0	0	0	0	0	0	88
MIR885	0	0	0	0	0	0	5	0	1	0	74
MIR543	3	1	0	0	0	1	3	0	3	1	78
MIR208B	0	0	0	0	0	0	0	0	0	0	77
MIR509-3	0	0	0	0	0	0	0	0	0	0	75
MIR937	0	0	0	1	0	0	0	1	0	2	86
MIR941-2	0	0	0	0	0	0	0	0	0	0	89
MIR944	0	0	0	0	0	0	0	0	0	0	88
MIR891A	0	0	0	0	0	0	0	0	0	0	79
MIR892A	0	0	0	0	0	3	1	0	2	0	75
MIR874	0	0	0	0	2	0	0	0	0	0	78
MIR889	0	0	0	0	0	1	0	0	0	0	79
MIR190B	0	0	0	0	0	0	0	0	0	0	79
MIR887	0	2	0	0	1	1	0	0	0	0	79
MIR760	1	0	0	1	0	2	0	2	3	5	80
MIR921	0	0	0	0	0	0	0	0	0	0	56
MIR933	1	0	0	0	0	0	0	0	0	0	77
MIR939	0	0	0	0	0	0	0	1	2	1	82
MIR297	0	0	0	0	0	0	1	0	0	0	66
MIR365A	0	0	0	1	0	0	0	0	0	0	87
MIR365B	0	3	3	0	0	0	0	0	0	0	111
LOC100126447	1	4	4	2	0	0	0	0	0	0	652
LOC100126582	4	15	11	18	5	12	7	9	8	13	1718
LINC00322	116	116	116	169	45	4	5	6	5	2	3781
SNAR-G1	89	33	63	109	23	2	1	4	0	4	128
SNAR-F	5	1	3	6	1	0	0	6	3	1	123
LOC100126784	116	105	103	155	64	542	463	563	765	329	3667
EGOT	0	0	0	0	1	0	0	1	0	0	1464
GHRLOS	34	28	45	56	15	23	13	18	26	10	1708
SNAR-A1	9	1	1	6	4	0	0	2	0	0	122
SNAR-A2	1	2	0	3	3	0	0	0	0	0	122
SNAR-A12	17	1	0	9	5	0	0	2	0	0	122
KIAA1024L	0	0	0	1	0	0	0	0	0	0	573
LOC100127888	134	91	98	124	54	16	12	36	27	13	1423
C10ORF131	17	10	5	4	3	3	0	3	9	3	1176
LOC100127909	2	0	0	0	0	0	0	0	0	0	1515
LOC100127910	20	27	28	58	9	14	19	11	17	3	2247
LOC100127919	0	0	0	1	0	0	0	0	0	0	483
LOC100127946	9	0	2	0	0	0	0	0	0	1	759
HECW1-IT1	0	0	0	0	0	0	2	2	3	1	1839
LOC100127974	51	29	17	28	25	2	9	4	7	4	2196
LOC100127983	240	202	157	230	142	9	13	15	40	16	1053
LOC100128002	0	1	1	18	2	2	4	14	10	6	2697
DPPA2P3	0	0	0	2	0	0	0	0	0	0	1146
LOC100128028	6	32	24	23	0	11	1	10	7	1	1957
LOC100128054	0	0	0	0	0	0	0	0	1	0	1408
SMARCA5-AS1	0	4	4	0	1	0	0	0	0	0	945
LOC100128059	4	0	0	2	6	0	0	0	3	0	2185
FAM229A	139	65	63	157	32	39	32	75	30	24	699
LOC100128076	31	26	8	33	14	53	25	82	50	47	2012
LOC100128077	44	17	38	40	24	0	0	0	4	0	603
JAZF1-AS1	2	2	2	3	2	101	108	115	94	43	1194
ST8SIA6-AS1	102	136	122	159	44	0	2	3	0	1	557
LOC100128105	0	0	0	1	1	1	1	0	0	0	494
HGC6.3	7	6	4	3	1	55	65	95	76	39	1016
LOC100128130	51	67	64	82	42	2	4	9	10	9	2044
LOC100128131	0	0	0	0	0	9	5	18	18	12	3103
LOC100128139	0	0	0	2	0	1	3	1	0	1	568
LOC100128160	0	0	0	0	0	0	0	0	0	0	516
LOC100128164	89	38	33	67	49	54	61	61	68	58	7012
LOC100128174	0	1	0	0	2	0	6	6	1	3	213
TMPO-AS1	947	696	650	968	280	41	14	44	53	22	3161
LOC100128239	2	8	10	7	6	185	180	230	184	157	2299
LOC100128242	111	90	141	178	46	12	2	6	10	8	1094
LOC100128252	662	535	559	617	271	2867	2542	2728	3986	1597	1783
LOC100128253	5	0	0	5	1	20	9	18	22	5	2454
FAM90A28P	1	4	0	2	0	0	0	0	0	0	1815
WASIR1	24	8	14	32	10	12	13	18	29	12	1209
LOC100128262	3	3	4	12	0	2	1	0	0	1	2097
LOC100128264	23	12	6	18	9	770	598	623	1016	531	2703
LOC100128276	18	15	7	14	12	14	12	20	14	15	1063
DNM1P35	65	56	64	103	39	166	110	171	194	119	7300
LOC100128288	128	68	69	99	35	102	97	97	123	77	2129
DLG5-AS1	71	47	68	32	14	50	50	42	78	50	3014
LOC100128302	394	392	286	472	119	78	39	78	95	36	453
LOC100128310	0	0	0	4	10	0	1	0	0	0	2000
LOC100128326	40	39	31	58	42	3	10	3	15	10	1190
BET3L	8	4	3	2	2	0	0	0	2	1	1113
LOC100128334	2	1	1	0	1	0	0	2	0	0	1013
LOC100128338	258	180	150	216	117	11	9	16	16	2	2737
LOC100128340	14	8	18	17	10	14	14	29	51	24	879
LOC100128343	22	10	20	23	6	6	7	7	10	13	1970
LOC100128355	346	260	216	384	237	62	52	76	77	38	1005
LOC100128361	154	160	134	160	75	39	31	23	37	21	2484
LOC100128364	6	7	16	4	8	440	305	491	525	158	2209
LOC100128371	0	0	0	3	2	2	0	0	0	0	498
LOC100128374	8	4	0	8	3	1	6	5	4	5	2967
LINC00696	0	0	0	2	2	0	1	0	0	0	3019
FAM225B	91	123	102	147	85	126	73	83	113	69	5806
LOC100128398	45	83	46	52	42	113	137	132	180	113	1897
AZFP	1	1	1	3	2	15	8	2	8	3	1108
LOC100128482	1	0	3	0	0	0	0	0	0	0	462
C20ORF78	0	1	0	1	0	0	0	0	0	0	617
LOC100128505	0	0	1	1	0	0	1	0	5	3	1756
LOC100128508	0	1	7	4	5	1	2	8	7	5	1953
NEBL-AS1	7	2	8	6	1	21	9	22	22	15	514
LOC100128542	104	51	45	43	32	15	9	19	64	11	486
CTAGE4	52	39	26	45	17	5	5	0	6	0	2626
LOC100128554	0	9	0	0	0	12	19	27	28	19	2629
LOC100128563	0	9	9	5	10	9	8	10	5	9	1628
C19ORF71	225	189	186	321	206	81	49	100	50	72	671
LOC100128573	0	0	3	1	1	0	2	5	0	0	525
ARMCX3-AS1	4	8	10	10	3	102	80	100	116	29	710
SLC8A1-AS1	3	8	7	15	0	33	34	32	67	4	1002
LOC100128593	1	3	0	1	0	1	6	9	0	4	2702
LOC100128596	608	646	559	884	238	401	377	459	522	285	471
ACVR2B-AS1	149	146	102	138	47	39	56	28	32	26	2517
LOC100128644	2	0	0	0	0	0	0	2	6	2	608
LOC100128653	104	64	87	102	64	17	12	11	12	7	2427
LOC100128655	1	0	0	1	0	0	0	0	0	0	510
LOC100128675	2	3	4	7	4	100	65	87	115	81	4617
OST4	5903	5191	6183	9348	2295	1309	1099	1470	1586	620	487
LOC100128750	20	52	24	59	15	2	1	3	2	2	1036
LOC100128751	0	11	15	11	6	2	2	7	7	2	2251
LOC100128770	15	16	14	37	21	6	6	4	11	7	3061
LINC00476	417	260	257	406	118	405	325	357	430	191	9171
GS85	1	0	0	1	3	0	0	0	0	0	1920
SRRM2-AS1	77	27	34	82	17	4	6	6	5	12	1645
GPR158-AS1	0	0	0	0	0	76	73	47	77	42	2433
LOC100128816	40	41	26	42	23	2	1	3	2	1	1695
LOC100128818	0	0	4	2	3	0	0	0	0	0	1378
LOC100128822	369	269	267	418	159	302	282	327	462	193	1422
LOC100128840	1	2	7	0	4	0	0	0	0	0	1717
LOC100128881	1281	1179	1173	1996	495	54	46	75	36	65	1753
FAM66B	17	9	11	14	9	19	22	25	25	29	1432
LOC100128893	60	45	46	64	30	0	0	0	0	0	1788
LOC100128905	0	0	1	0	1	0	0	0	0	0	1879
LOC100128908	5	3	2	1	1	4	8	6	13	2	2474
LOC100128909	33	17	17	21	18	8	1	1	8	0	677
ZBTB42	571	383	393	687	133	17	31	65	17	10	3637
LOC100128946	10	8	4	3	7	23	21	31	26	24	4015
MAPT-AS1	0	1	0	2	0	20	22	22	52	27	840
LOC100128979	22	32	28	56	20	26	27	48	32	14	3567
LOC100128988	0	0	6	5	13	0	0	0	0	0	997
C20ORF181	0	2	0	0	1	0	0	0	2	0	738
LOC100129027	3	5	10	12	0	14	8	12	5	4	3586
LOC100129033	1	9	19	9	5	0	4	0	7	2	921
LOC100129034	1860	1936	1671	2046	1130	1064	974	1095	1284	610	5714
